materia;assunto;tipo;banca;enunciado;alternativa_a;alternativa_b;alternativa_c;alternativa_d;alternativa_e;resposta
INFORMÁTICA;Criptografia (Simétrica);Múltipla Escolha;ENEM;O AES (Advanced Encryption Standard) é um algoritmo de criptografia:;Assimétrica.;Híbrida.;Simétrica.;De chave pública.;De hash.;C
MATEMÁTICA;Juros Compostos (Montante);Múltipla Escolha;VUNESP;O montante de R$ 100,00 a 10% de juros compostos por 2 anos é:;R$ 120,00;R$ 121,00;R$ 110,00;R$ 100,00;R$ 140,00;B
HISTÓRIA;Guerra Fria (Oposição);Múltipla Escolha;VUNESP;A Guerra do Vietnã e a Guerra da Coreia são exemplos de conflitos que, na Guerra Fria, foram:;Confrontos diretos entre EUA e URSS.;Guerra-frias (sem combate).;Conflitos por procuração (proxy wars).;Lutas civis internas.;Guerras religiosas.;C
GEOGRAFIA;Urbanização (Brasil);Múltipla Escolha;FGV;O principal fator que intensificou o êxodo rural no Brasil foi:;O aumento da população urbana.;A crise do petróleo.;A mecanização do campo e a atração das cidades (industrialização).;A reforma agrária.;O crescimento do setor primário.;C
PORTUGUÊS;Ortografia (Mas/Mais);Múltipla Escolha;VUNESP;Assinale a frase correta.;Quero mais café, mas não tenho tempo.;Quero mas café, mais não tenho tempo.;Quero mais café, mais não tenho tempo.;Quero mas café, mas não tenho tempo.;Quero mais café, mas não o.;A
DIREITO CONSTITUCIONAL;Direito Social (Moradia);Certo/Errado;CESPE;O direito à moradia é um direito social que exige uma prestação positiva do Estado.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Integridade);Múltipla Escolha;FGV;A integridade de um arquivo de dados é geralmente verificada por meio de:;Criptografia.;Assinatura digital e funções de hash.;Firewall.;Backup em nuvem.;Autenticação de dois fatores.;B
MATEMÁTICA;Probabilidade (Sorteio);Múltipla Escolha;VUNESP;Em uma urna, há 5 bolas azuis e 3 vermelhas. A probabilidade de sortear uma bola azul é:;3/8;5/8;1/5;1/3;5/3;B
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;ENEM;O surgimento dos sindicatos e das leis trabalhistas foi uma reação direta às:;Altas taxas de juros.;Condições de trabalho e vida precárias da classe operária.;Guerras napoleônicas.;Crises de superprodução.;Políticas de livre comércio.;B
GEOGRAFIA;Recursos Hídricos (Uso);Múltipla Escolha;VUNESP;A dessalinização da água do mar é uma solução cara e com alto consumo energético, utilizada principalmente em regiões de:;Alta pluviosidade.;Escassez hídrica e alto desenvolvimento tecnológico.;Grandes rios.;Floresta tropical.;Clima temperado.;B
PORTUGUÊS;Sintaxe (Objeto Direto);Múltipla Escolha;FGV;O objeto direto em "Ele respeita os mais velhos" é:;Ele;respeita;os mais velhos;os;mais velhos;C
DIREITO ADMINISTRATIVO;Princípio da Legalidade;Certo/Errado;CESPE;A legalidade, para o particular, significa que é permitido tudo o que a lei não proíbe.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);Múltipla Escolha;VUNESP;Qual termo se refere ao atraso na transmissão de dados em uma rede?;Banda.;Largura de banda.;Latência.;Protocolo.;Roteamento.;C
MATEMÁTICA;Função Afim (Cálculo);Múltipla Escolha;FGV;Se $f(x) = -x + 5$, o valor de $f(10)$ é:;5;-5;15;-15;10;B
HISTÓRIA;Colonização (Economia);Múltipla Escolha;VUNESP;O principal produto explorado no Brasil Colônia no início da colonização (século XVI) foi o:;Ouro.;Café.;Açúcar.;Pau-brasil.;Algodão.;D
GEOGRAFIA;Urbanização (Brasil);Múltipla Escolha;ENEM;A rede urbana brasileira é hierarquizada, tendo como principal centro de comando e influência a:;Cidade média.;Metrópole regional.;Metrópole nacional (São Paulo e Rio de Janeiro).;Cidade global.;Capital regional.;C
PORTUGUÊS;Conectivos (Proporcionalidade);Múltipla Escolha;FGV;Qual conectivo expressa uma relação de proporcionalidade?;Conforme;Se;À medida que;Embora;Portanto;C
DIREITO CONSTITUCIONAL;Direitos Políticos (Cidadania);Certo/Errado;CESPE;A cidadania é a participação do indivíduo na vida e no governo de seu Estado, sendo um dos fundamentos da República.;Certo;Errado;;;;Certo
INFORMÁTICA;Software (Sistema);Múltipla Escolha;VUNESP;O BIOS (Basic Input/Output System) é um tipo de software armazenado na memória:;RAM.;ROM (Firmware).;Cache.;Virtual.;SSD.;B
MATEMÁTICA;Área (Retângulo);Múltipla Escolha;FGV;O perímetro de um retângulo é 20 cm e a largura é 3 cm. O comprimento é:;7 cm;17 cm;10 cm;14 cm;5 cm;A
HISTÓRIA;Revolução Industrial (Consequências);Múltipla Escolha;ENEM;A poluição atmosférica intensa e a formação de favelas foram características sociais e ambientais do(a):;Feudalismo.;Primeira Revolução Industrial.;Segunda Guerra Mundial.;Colonização da América.;Guerra Fria.;B
GEOGRAFIA;Relevo (Tipos);Múltipla Escolha;VUNESP;As formas de relevo mais antigas e estáveis do Brasil, onde predominam as rochas cristalinas, são os(as):;Planícies.;Bacias sedimentares.;Dobramentos modernos.;Escudos cristalinos.;Montanhas recentes.;D
PORTUGUÊS;Concordância (Haver);Múltipla Escolha;FGV;Assinale a frase incorreta.;Havia muitos problemas.;Faz dois anos que nos vimos.;Podem haver problemas.;Choveu muito hoje.;Tanto A quanto D estão corretas.;C
DIREITO ADMINISTRATIVO;Licitação (Princípio);Certo/Errado;CESPE;O princípio da obrigatoriedade de licitar impõe à Administração o dever de licitar sempre que a lei exigir.;Certo;Errado;;;;Certo
INFORMÁTICA;Segurança (Princípio);Múltipla Escolha;VUNESP;O princípio da Integridade em segurança da informação é garantido por:;Criptografia simétrica.;Autenticação de usuário.;Funções de hash e assinatura digital.;Firewall.;Backup em fita.;C
MATEMÁTICA;Equação do 2º Grau (Soma e Produto);Múltipla Escolha;VUNESP;A soma das raízes de $3x^2 - 9x + 6 = 0$ é:;3;9;2;6;1;A
HISTÓRIA;Guerra Fria (Oposição);Múltipla Escolha;ENEM;O principal organismo de defesa militar do Bloco Capitalista, criado em 1949, foi o(a):;Pacto de Varsóvia.;ONU.;OTAN.;COMECON.;Liga das Nações.;C
GEOGRAFIA;Urbanização (Inchaço);Múltipla Escolha;FGV;O "inchaço" urbano nos países em desenvolvimento resulta em:;Crescimento de áreas rurais.;Melhoria na qualidade de vida.;Dificuldade de gestão urbana e aumento da pobreza.;Diminuição da população.;Fim da segregação.;C
PORTUGUÊS;Voz Passiva (Transformação);Múltipla Escolha;VUNESP;A frase "O livro foi escrito pelo autor" está na voz passiva. A voz ativa correspondente é:;O autor escreveu o livro.;O autor era escritor.;O livro se escreveu.;Escreveu-se o livro.;O autor está escrevendo o livro.;A
DIREITO CONSTITUCIONAL;Direito Social (Trabalho);Certo/Errado;CESPE;A proteção contra a despedida arbitrária ou sem justa causa é um direito dos trabalhadores urbanos e rurais.;Certo;Errado;;;;Certo
INFORMÁTICA;Redes (Conceitos);
